oxigenio_dissolvido,coliformes_termotolerantes,pH,temperatura_agua,nitrogenio_total,fosforo_total,turbidez,solidos_totais,classe
7.35,0.0,0.0,0.0,0.0,0.086667,20.25,0.0,boa
8.433333,0.0,0.0,0.0,0.0,0.104167,121.333333,0.0,boa
6.558333,0.0,0.0,0.0,0.0,1.9675,16.591667,0.0,boa
8.241667,0.0,0.0,0.0,0.0,0.4475,3.1,0.0,boa
6.608333,0.0,0.0,0.0,0.0,17.365833,49.45,0.0,ruim
7.05,0.0,0.0,0.0,0.0,0.024167,17.5,0.0,boa
4.075,0.0,0.0,0.0,0.0,0.364167,17.625,0.0,regular
2.4875,0.0,0.0,0.0,0.0,0.4325,10.833333,0.0,regular
8.258333,0.0,0.0,0.0,0.0,0.08,6.208333,0.0,boa
7.441667,0.0,0.0,0.0,0.0,0.053333,33.375,0.0,boa
0.4375,0.0,0.0,0.0,0.0,1.321667,123.75,0.0,pessima
7.466667,0.0,0.0,0.0,0.0,0.025417,18.916667,0.0,otima
3.866667,0.0,0.0,0.0,0.0,0.115833,24.166667,0.0,regular
6.925,0.0,0.0,0.0,0.0,0.0675,39.75,0.0,boa
0.2,0.0,0.0,0.0,0.0,3.663333,100.416667,0.0,pessima
0.25,0.0,0.0,0.0,0.0,170.606667,84.583333,0.0,ruim
0.466667,0.0,0.0,0.0,0.0,0.2925,112.583333,0.0,ruim
1.4875,0.0,0.0,0.0,0.0,0.331667,55.833333,0.0,regular
2.457143,0.0,0.0,0.0,0.0,0.12,51.416667,0.0,regular
3.133333,0.0,0.0,0.0,0.0,0.344167,21.375,0.0,regular
7.016667,0.0,0.0,0.0,0.0,0.012,5.816667,0.0,otima
7.458333,0.0,0.0,0.0,0.0,0.081667,61.5,0.0,regular
4.233333,0.0,0.0,0.0,0.0,0.059167,22.666667,0.0,boa
4.081818,0.0,0.0,0.0,0.0,0.395,73.583333,0.0,regular
2.441667,0.0,0.0,0.0,0.0,0.359167,98.75,0.0,ruim
5.966667,0.0,0.0,0.0,0.0,0.0625,41.5,0.0,boa
3.44,0.0,0.0,0.0,0.0,0.166667,36.25,0.0,regular
5.75,0.0,0.0,0.0,0.0,0.106667,49.333333,0.0,boa
4.345455,0.0,0.0,0.0,0.0,0.135833,48.916667,0.0,regular
2.86,0.0,0.0,0.0,0.0,0.091667,35.833333,0.0,regular
6.6,0.0,0.0,0.0,0.0,0.250833,54.833333,0.0,regular
6.658333,0.0,0.0,0.0,0.0,0.091667,38.916667,0.0,regular
7.433333,0.0,0.0,0.0,0.0,0.060833,33.0,0.0,boa
6.575,0.0,0.0,0.0,0.0,0.078333,45.0,0.0,boa
6.716667,0.0,0.0,0.0,0.0,0.124167,73.958333,0.0,boa
7.26,0.0,0.0,0.0,0.0,0.065,48.590909,0.0,boa
7.481818,0.0,0.0,0.0,0.0,0.0115,2.408333,0.0,otima
7.281818,0.0,0.0,0.0,0.0,0.068182,76.363636,0.0,boa
7.15,0.0,0.0,0.0,0.0,0.05375,29.363636,0.0,boa
6.391667,0.0,0.0,0.0,0.0,0.05,43.136364,0.0,boa
7.983333,0.0,0.0,0.0,0.0,0.0275,11.541667,0.0,otima
7.108333,0.0,0.0,0.0,0.0,0.061667,39.5,0.0,boa
3.736364,0.0,0.0,0.0,0.0,0.096667,44.083333,0.0,regular
7.375,0.0,0.0,0.0,0.0,0.019167,10.583333,0.0,boa
8.533333,0.0,0.0,0.0,0.0,0.113333,70.416667,0.0,boa
7.266667,0.0,0.0,0.0,0.0,0.371667,14.5,0.0,boa
8.458333,0.0,0.0,0.0,0.0,0.4125,5.416667,0.0,boa
7.616667,0.0,0.0,0.0,0.0,49.285833,17.083333,0.0,regular
6.327273,0.0,0.0,0.0,0.0,0.068333,18.166667,0.0,boa
3.2,0.0,0.0,0.0,0.0,0.428333,7.583333,0.0,boa
0.683333,0.0,0.0,0.0,0.0,0.534167,12.25,0.0,ruim
